source,row_index,row_text,period,id,name,order,level,off_balance,unit,value,item,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TCB_balance_sheet_doc,146,2023-Q3 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 69386021000000.0,2023-Q3,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,69386021000000.0,,,,,
TCB_balance_sheet_doc,148,2023-Q3 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 469588515000000.0,2023-Q3,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,469588515000000.0,,,,,
TCB_balance_sheet_doc,149,2023-Q3 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -6017074000000.0,2023-Q3,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-6017074000000.0,,,,,
TCB_balance_sheet_doc,152,2023-Q3 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 159262494000000.0,2023-Q3,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,159262494000000.0,,,,,
TCB_balance_sheet_doc,153,2023-Q3 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 409044572000000.0,2023-Q3,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,409044572000000.0,,,,,
TCB_balance_sheet_doc,159,2023-Q2 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 71193282000000.0,2023-Q2,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,71193282000000.0,,,,,
TCB_balance_sheet_doc,161,2023-Q2 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 460753044000000.0,2023-Q2,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,460753044000000.0,,,,,
TCB_balance_sheet_doc,162,2023-Q2 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -5793173000000.0,2023-Q2,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-5793173000000.0,,,,,
TCB_balance_sheet_doc,165,2023-Q2 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 153625650000000.0,2023-Q2,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,153625650000000.0,,,,,
TCB_balance_sheet_doc,166,2023-Q2 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 381946519000000.0,2023-Q2,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,381946519000000.0,,,,,
