date,omo,fx,OMO_z,FX_z,LPI_components,LPI
2019-06-17,-2199.7,,0.24911188718191563,,1,
2019-06-18,-3000.1,,0.36166178184166115,,1,
2019-06-19,21.0,,-0.19749246497310727,,1,
2019-06-20,-0.1,,-0.21223035735348875,,1,
2019-06-21,1999.8,,-0.5849638916410539,,1,
2019-06-24,7999.9,,-1.5984555352151348,,1,
2019-06-25,7000.0,,-1.366273775863118,,1,
2019-06-26,7979.1,,-1.4714523303361724,,1,
2019-06-27,6999.9,,-1.2536562037768604,,1,
2019-06-28,16999.9,,-2.691750033670631,,1,
2019-07-01,-0.1,,-0.0236443172060686,,1,
2019-07-02,-1999.9,,0.28292746592243767,,1,
2019-07-03,0.0,,-0.04609496465515269,,1,
2019-07-04,-0.1,,-0.055333972980091545,,1,
2019-07-05,-11999.9,,1.783691269725399,,1,
2019-07-08,-2999.8,,0.3861593625593436,,1,
2019-07-09,-6999.9,,0.9993698784265155,,1,
2019-07-10,-6999.7,,0.9686126296510763,,1,
2019-07-11,-1999.7,,0.18524112496014603,,1,
2019-07-12,4999.9,,-0.8955176214334544,,1,
2019-07-15,4999.9,,-0.8812292040174269,,1,
2019-07-16,6999.9,,-1.1479957645901373,,1,
2019-07-17,6999.8,,-1.1108983506508097,,1,
2019-07-18,5000.1,,-0.7809404940209113,,1,
2019-07-19,-4999.6,,0.9103569918169531,,1,
2019-07-22,-4999.9,,0.8959226487847589,,1,
2019-07-23,-5000.1,,0.8821442434879646,,1,
2019-07-24,-4999.9,,0.8689217104331136,,1,
2019-07-25,-5000.2,,0.8487408529053388,,1,
2019-07-26,-2000.2,,0.33242875721804444,,1,
2019-07-29,-1999.9,,0.3293354336345346,,1,
2019-07-30,-1999.9,,0.3027368286399037,,1,
2019-07-31,-0.2,,-0.050672320510723574,,1,
2019-08-01,1999.8,,-0.42318275616478973,,1,
2019-08-02,3999.7,,-0.786964330530543,,1,
2019-08-05,3999.9,,-0.7638383406255171,,1,
2019-08-06,1999.9,,-0.38130093204040816,,1,
2019-08-07,1999.9,,-0.3608967172596607,,1,
2019-08-08,0.3,,0.01852108239023292,,1,
2019-08-09,3000.2,,-0.5239013285748387,,1,
2019-08-12,2999.9,,-0.5024570939154372,,1,
2019-08-13,20.2,,0.04900832811078996,,1,
2019-08-14,-1999.9,,0.40890529771276996,,1,
2019-08-15,-2000.0,,0.3877499136006314,,1,
2019-08-16,-1999.9,,0.37909712471263185,,1,
2019-08-19,0.0,,0.018283836245570097,,1,
2019-08-20,1979.7,,-0.3332889613661596,,1,
2019-08-21,5000.0,,-0.8752213638241402,,1,
2019-08-22,9999.7,,-1.832927564725562,,1,
2019-08-23,6999.7,,-1.2186258101741871,,1,
2019-08-26,5749.8,,-0.939180520136645,,1,
2019-08-27,11681.9,,-2.0472619483228467,,1,
2019-08-28,5100.3,,-0.7438027278563971,,1,
2019-08-29,0.0,,0.2572140218645792,,1,
2019-08-30,8601.0,,-1.4034266349576086,,1,
2019-09-02,,,,,0,
2019-09-03,-2693.8,,0.7798774341093638,,1,
2019-09-04,-100.5,,0.27523995335130735,,1,
2019-09-05,0.0,,0.24759643706307974,,1,
2019-09-06,-8601.0,,1.8356758014256724,,1,
2019-09-09,,,,,0,
2019-09-10,-988.2,,0.4161044249822647,,1,
2019-09-11,0.0,,0.22980364825509478,,1,
2019-09-12,0.0,,0.22980399062867352,,1,
2019-09-13,0.0,,0.22325010948447882,,1,
2019-09-16,-11999.7,,2.3331048886543324,,1,
2019-09-17,-14999.5,,2.6562667441675707,,1,
2019-09-18,-14999.2,,2.479230935281562,,1,
2019-09-19,-14999.3,,2.3244967258963976,,1,
2019-09-20,-11999.4,,1.843997250690481,,1,
2019-09-23,0.6,,-0.13440038409922703,,1,
2019-09-24,3000.2,,-0.6128658597985852,,1,
2019-09-25,-0.3,,-0.1196776265621251,,1,
2019-09-26,0.1,,-0.11974279909921723,,1,
2019-09-27,-2999.9,,0.411060507986762,,1,
2019-09-30,-3000.4,,0.4111431506083737,,1,
2019-10-01,-6000.1,,0.9249571756388086,,1,
2019-10-02,-3000.0,,0.4308805277798568,,1,
2019-10-03,-2999.8,,0.427448016415989,,1,
2019-10-04,-3000.0,,0.40649873501410383,,1,
2019-10-07,-2999.6,,0.38541230337612553,,1,
2019-10-08,2.3,,-0.1594040759808586,,1,
2019-10-09,0.2,,-0.183494344777417,,1,
2019-10-10,-0.3,,-0.20092583485409513,,1,
2019-10-11,495.3,,-0.2747000298611841,,1,
2019-10-14,0.0,,-0.16954537769921746,,1,
2019-10-15,-1.9,,-0.15416550968899867,,1,
2019-10-16,0.2,,-0.13940961300768293,,1,
2019-10-17,0.8,,-0.12425717626519175,,1,
2019-10-18,2504.6,,-0.5735491716465704,,1,
2019-10-21,3000.2,,-0.6473744878996774,,1,
2019-10-22,3000.0,,-0.6296040172262096,,1,
2019-10-23,3000.2,,-0.6180269192862599,,1,
2019-10-24,2999.5,,-0.6136985559583714,,1,
2019-10-25,2999.8,,-0.6183200266331886,,1,
2019-10-28,2999.2,,-0.622810181416699,,1,
2019-10-29,4999.5,,-0.9748834561489482,,1,
2019-10-30,4999.8,,-0.9590783587868923,,1,
2019-10-31,5000.1,,-0.9360876937451578,,1,
2019-11-01,2000.5,,-0.3992095592416417,,1,
2019-11-04,4000.2,,-0.7554488782664652,,1,
2019-11-05,2000.0,,-0.3885029350409139,,1,
2019-11-06,-0.4,,-0.02249024389028901,,1,
2019-11-07,-0.5,,-0.016281489112575095,,1,
2019-11-08,-0.5,,-0.010078862305610153,,1,
2019-11-11,3000.2,,-0.540744547861743,,1,
2019-11-12,3000.2,,-0.5368050883370606,,1,
2019-11-13,2000.4,,-0.36864250797879883,,1,
2019-11-14,-0.2,,-0.039311669939484935,,1,
2019-11-15,0.4,,-0.06293081639118582,,1,
2019-11-18,-0.4,,-0.08253621639913851,,1,
2019-11-19,1999.6,,-0.5224632624150675,,1,
2019-11-20,2999.4,,-0.7359864683086492,,1,
2019-11-21,9999.6,,-2.039119555913452,,1,
2019-11-22,9999.2,,-2.0161056629871985,,1,
2019-11-25,8999.7,,-1.7581002067313491,,1,
2019-11-26,26333.2,,-4.144893510738844,,1,
2019-11-27,8952.2,,-1.3406805794831258,,1,
2019-11-28,0.0,,0.05743228972528099,,1,
2019-11-29,17893.0,,-2.5540240663220906,,1,
2019-12-02,10717.9,,-1.4421255229628123,,1,
2019-12-03,-15096.8,,2.244231782799501,,1,
2019-12-04,1944.1,,-0.16500401137567114,,1,
2019-12-05,2073.5,,-0.17840627012490964,,1,
2019-12-06,,,,,0,
2019-12-09,,,,,0,
2019-12-10,,,,,0,
2019-12-11,,,,,0,
2019-12-12,,,,,0,
2019-12-13,-17893.0,,3.1180404724143025,,1,
2019-12-16,-14717.9,,2.428014679798204,,1,
2019-12-17,-8236.7,,1.4039241021251132,,1,
2019-12-18,-5896.6,,1.0350985567180702,,1,
2019-12-19,-2073.5,,0.4740756242050871,,1,
2019-12-20,-3668.4,,0.702471410881588,,1,
2019-12-23,-6637.8,,1.113110179831368,,1,
2019-12-24,-9162.4,,1.4519229586681563,,1,
2019-12-25,-915.6,,0.2871375641799536,,1,
2019-12-26,-2804.4,,0.5566072663204614,,1,
2019-12-27,0.0,,0.16564418122221466,,1,
2019-12-30,0.0,,0.1739612329327146,,1,
2019-12-31,0.0,,0.17395505952618942,,1,
2020-01-01,,,,,0,
2020-01-02,,23180.0,,,0,
2020-01-03,,23180.0,,,0,
2020-01-06,,23180.0,,,0,
2020-01-07,,23180.0,,,0,
2020-01-08,0.0,23180.0,0.181172686812335,,1,
2020-01-09,0.0,23180.0,0.181170427925657,,1,
2020-01-10,0.0,23180.0,0.17431941284544986,,1,
2020-01-13,0.0,23200.0,0.1661710875213722,,1,
2020-01-14,0.0,23200.0,0.15802941449311736,,1,
2020-01-15,,23210.0,,,0,
2020-01-16,0.0,23210.0,0.1431979499138016,,1,
2020-01-17,0.0,23210.0,0.1349794916037374,,1,
2020-01-20,-4999.9,23200.0,0.7858213586532903,,1,
2020-01-21,-4999.9,23200.0,0.7562403902770264,,1,
2020-01-22,-4999.8,23200.0,0.7273692228883307,,1,
2020-01-23,,23200.0,,,0,
2020-01-24,,23200.0,,,0,
2020-01-27,,23200.0,,,0,
2020-01-28,,,,,0,
2020-01-29,,,,,0,
2020-01-30,-4999.7,23210.0,0.6444929156209517,,1,
